abs_speed_change,duration_error_ratio,final_tts_duration,fluency_penalty,id,module3_best_score,module3_max_vi_final,module3_pred_len_vi,overrun,raw_tts_duration,source_duration,source_text,speed_factor,system,translation,tts_source_ratio,underrun,vi_units
0.0,0.0033898305084746542,5.88,0.0,1,,,,0,5.88,5.9,"As your morning alarm blares, you mutter to yourself, Why did I set it so early?",1.0,baseline,"Khi tiếng chuông báo thức của bạn vang lên, bạn thầm thì: ""Tại sao tôi lại đặt nó vào lúc sớm như vậy?",0.9966101694915254,1,23
0.0,0.20000000000000004,3.72,0.0,2,,,,1,3.72,3.1,"While brushing your teeth, you think, I need a haircut.",1.0,baseline,"Khi chải răng, bạn nghĩ: ""Tôi cần cắt tóc"".",1.2,0,9
0.0,0.6533333333333333,1.488,0.2,3,,,,1,1.488,0.9,Unless...,1.0,baseline,Trừ khi...,1.6533333333333333,0,2
0.0,0.062222222222222276,5.064,0.0,4,,,,0,5.064,5.4,"Rushing out the front door, you reach for your keys and realize they're not there.",1.0,baseline,"Đi ra khỏi cửa trước, bạn tìm kiếm chìa khóa nhưng không thấy chúng đâu.",0.9377777777777777,1,15
0.0,0.2647619047619048,7.968,0.0,5,,,,1,7.968,6.3,"Frustrated, you shout, I can't do anything right! Just in time to notice your neighbor.",1.0,baseline,"Bất mãn, bạn hét lên, tôi chẳng làm được gì cả! Chỉ kịp thời để phát hiện bạn có người bạn hàng xóm.",1.2647619047619048,0,23
0.0,0.04674698795180721,8.688,0.15,6,,,,1,8.688,8.3,"Being caught talking to yourself can feel embarrassing, and some people even stigmatize this behavior as a sign of mental instability.",1.0,baseline,"Việc bị bắt gặp đang nói chuyện với chính mình có thể khiến người ta cảm thấy xấu hổ, và một số người thậm chí coi đây là dấu hiệu của sự mất ổn định tâm lý.",1.0467469879518072,0,37
0.0,0.011428571428571536,18.408,0.15,7,,,,1,18.408,18.2,"But decades of psychology research show that talking to yourself is completely normal. In fact, most if not all of us engage in some form of self-talk every single day. So why do we talk to ourselves? And does what we say matter?",1.0,baseline,"Nhưng hàng thập kỷ nghiên cứu tâm lý cho thấy việc nói chuyện với chính mình hoàn toàn bình thường. Trên thực tế, đa số và có thể nói là tất cả chúng ta đều thực hiện một dạng tự nói trong mỗi ngày. Vậy tại sao chúng ta lại nói chuyện với chính mình? Và những gì chúng ta nói có quan trọng không?",1.0114285714285716,0,65
0.0,0.028000000000000073,17.496,0.15,8,,,,0,17.496,18.0,"Self-talk refers to the narration inside your head, sometimes called inner speech. It differs from mental imagery, recalling facts and figures. Specifically, psychologists define self-talk as verbalized thoughts directed toward yourself or some facet of your life.",1.0,baseline,"Tự nói là việc kể chuyện diễn ra trong đầu, đôi khi được gọi là lời nói nội tâm. Nó khác với hình ảnh trong đầu, việc nhớ lại các sự kiện và con số. Cụ thể, các nhà tâm lý định nghĩa tự nói là những suy nghĩ được phát biểu hướng về chính mình hoặc một khía cạnh nào đó của cuộc sống.",0.972,1,65
0.0,0.25000000000000006,12.0,0.15,9,,,,1,12.0,9.6,"This includes personal conversations like, I need to work on my free throw. But it also includes reflections you have throughout the day, like, the gym's crowded tonight.",1.0,baseline,"Điều này bao gồm những cuộc trò chuyện cá nhân như, tôi cần tập trung vào việc làm free throw. Nhưng nó cũng bao gồm những suy nghĩ mà bạn đã có trong suốt ngày, như, phòng tập hôm nay rất đông người.",1.25,0,43
0.0,0.18265060240963854,9.816,0.15,10,,,,1,9.816,8.3,"I'll come back tomorrow. And while most self-talk in adults tends to be silent, speaking to yourself out loud also falls into this category.",1.0,baseline,"Tôi sẽ quay lại ngày mai. Trong khi hầu hết những lời tự nói với bản thân của người lớn thường là im lặng, thì việc nói to với chính mình cũng thuộc vào nhóm này.",1.1826506024096386,0,36
0.0,0.0117647058823529,16.8,0.15,11,,,,0,16.8,17.0,"In fact, psychologists believe our first experiences with self-talk are mostly vocal, as children often speak to themselves out loud as they play. In the 1930s, Russian psychologist Lev Vygotsky hypothesized that this kind of speech was actually key to development.",1.0,baseline,"Thực ra, các nhà tâm lý tin rằng những trải nghiệm đầu tiên với lời nói nội tâm chủ yếu là bằng lời, vì trẻ em thường nói chuyện với chính mình khi chơi. Vào những năm 1930, nhà tâm lý học Nga Lev Vygotsky đã giả định rằng loại lời nói này thực sự là chìa khóa cho sự phát triển.",0.9882352941176471,1,62
0.0,0.06140845070422535,7.536,0.15,12,,,,1,7.536,7.1,"By repeating conversations they've had with adults, children practice managing their behaviors and emotions on their own.",1.0,baseline,"Bằng cách lặp lại những cuộc trò chuyện mà họ đã có với người lớn, trẻ em rèn luyện khả năng tự quản lý hành vi và cảm xúc của mình.",1.0614084507042254,0,31
0.0,0.005644171779141028,16.392,0.15,13,,,,1,16.392,16.3,"Then, as they grow older, this outward self-talk tends to become internalized, morphing into a private inner dialogue. We know this internal self-talk is important and can help you plan, work through difficult situations and even motivate you throughout the day.",1.0,baseline,"Sau đó, khi chúng ta lớn tuổi, lời nói bên ngoài này thường trở thành nội tâm hóa, biến đổi thành một cuộc đối thoại nội tâm riêng tư. Chúng ta biết rằng lời nói nội tâm này rất quan trọng và có thể giúp bạn lập kế hoạch, vượt qua các tình huống khó khăn và thậm chí động viên bạn trong suốt ngày.",1.0056441717791411,0,65
